the_following_sources_are_not_included_in_the_joint_child_malnutrition_estimates_database,unnamed_1,unnamed_2,unnamed_3,unnamed_4,unnamed_5,unnamed_6,unnamed_7,unnamed_8,unnamed_9,unnamed_10,unnamed_11,unnamed_12
"For further details, please contact",,,,,,,,,,,,
sdg2.2@unicef.org,,,,,,,,,,,,
nfsdata@who.int,,,,,,,,,,,,
,,,,,,,,,,,,
ISO code,Country or areas,Survey year(s),Short Source,Report Author,Source,WHO Global Database Number,UNICEF Survey ID,Severe Wasting,Wasting,Overweight,Stunting,Underweight
AFG,AFGHANISTAN,2010-2011,MICS,"Central Statistics Organization - Government of the Islamic Republic of Afghanistan, UNICEF",Afghanistan Multiple Indicator Cluster Survey  2010-2011: Final Report. Kabul: Central Statistics Organisation (CSO) and UNICEF,03625,824,x,x,x,x,x
ALB,ALBANIA,1996-1998,NNS,"Food and Nutrition Section, Institute of Public Health, Albania",National study on nutrition in Albania. 1999,01954,4,x,x,x,x,x
ALB,ALBANIA,2000,MICS,National Institute of Statistics (Albania) and UNICEF Albania.,"Multiple indicator cluster survey report Albania (MICS). Committee on Women and Family, Institute of Public Health, Faculty of Social Sciences and UNICEF (Albania). Tirana, Albania: UNICEF, 2000",02361,5,x,x,x,x,x
ALB,ALBANIA,2002,LSMS,"National Institute of Statistics (Albania), World Bank (WB)","Albania Living Standards Measurement Survey 2002. Washington DC, United States: World Bank (WB)",03775,918,x,x,x,x,x
ALB,ALBANIA,2003,LSMS,INSTAT; World Bank,Albania 2003 Living Standards Measurement Survey - Wave 2,03776,919,x,x,x,x,x
ALB,ALBANIA,2010,Other,"National Institute of Statistics and the Institute of Public Health, Albania",Albania Baseline Nutrition and Food Security Survey (BNFS) 2010,03785,863,x,x,x,x,x
AGO,ANGOLA,2001,MICS,"National Institute of Statistics, Government of Unity and National Reconciliation, Republic of Angola",Assessing the Situation of Angolan Children and Women at the Beginning of the Millenium - Analytic Report,03851,825,x,x,x,x,x
ARG,ARGENTINA,2019-2020,MICS,UNICEF - SIEMPRO,"Encuesta Nacional de Niñas, Niños y Adolescentes (MICS) 2019-2020, Informe de resultados de la encuesta. Buenos Aires, Argentina: UNICEF.",03927,3304,x,x,x,x,x
BHR,BAHRAIN,2020,Surveillance,"Mother & Child Health Services, Primary Healthcare Centres, Bahrain",Bahrain 2020 National Primary Care Monitoring System,10731,9260,x,x,x,x,x
BHR,BAHRAIN,2021,Surveillance,"Mother & Child Health Services, Primary Healthcare Centres, Bahrain",Bahrain 2021 National Primary Care Monitoring System,10732,9261,x,x,x,x,x
BHR,BAHRAIN,2022,Surveillance,"Mother & Child Health Services, Primary Healthcare Centres, Bahrain",Bahrain 2022 National Primary Care Monitoring System,10361,9133,x,x,x,x,x
BHR,BAHRAIN,2023,Surveillance,"Mother & Child Health Services, Primary Healthcare Centres, Bahrain",Bahrain 2023 National Primary Care Monitoring System,10733,9262,x,x,x,x,x
BGD,BANGLADESH,2017-2018,NNS,"Institute of Nutrition and Food Science, University of Dhaka",Nutrition Survey of Bangladesh 2017-18,10331,9134,x,x,x,x,x
BRB,BARBADOS,2016-2017,Other,Barbados Statistical Service,Barbados Survey of Living Conditions 2016-2017,03626,2545,x,x,x,x,x
BEN,BENIN,2006,DHS,Institut National de la Statistique et de l'Analyse Économique (INSAE) [Bénin] et Macro International Inc.,"Enquête démographique et de santé (EDSB-III) - Bénin 2006. Demographic and Health Surveys. Calverton, Maryland, USA : Institut National de la Statistique et de l'Analyse Économique et Macro International Inc., 2007",02886,63,x,x,x,x,x
BEN,BENIN,2011,SMART,l’Institut National de la Statistique et de l’Analyse Economique (INSAE),Situation Nutritionnelle des Enfants de 6 à 59 Mois et des Femmes de 15 à 49 Ans,03627,832,x,x,x,x,x
BEN,BENIN,2011-2012,DHS,"Ministère du Développement, de l’Analyse Économique et de la Prospective Institut National de la Statistique et de l’Analyse Économique (INSAE) Cotonou, Bénin ; ICF International Calverton, Maryland, USA",Enquête Démographique et de Santé (EDSB-IV) 2011-2012,04131,833,x,x,x,x,x
BTN,BHUTAN,2015,NNS,"Nutrition Programme, Department of Public Health, Ministry of Health","National Nutrition Survey 2015, Nutrition Programme Department of Public Health Ministry of Health Bhutan",03628,849,x,x,x,x,x
